index,start_angle,end_angle,solar_term,ganchu,kyusei,unsu,kokei,niju_hasshuku
1,300.000,301.875,春分,乙亥,人禄,上3カ,無〇〇無〇〇,壁
2,301.875,307.500,春分,丁亥,天輔,カ8上,無〇無無〇無,壁
3,307.500,309.000,春分,己亥,天巨,カ2上,〇〇無〇〇無,壁
4,309.000,313.125,春分,己亥,天巨,カ2上,〇〇無〇〇無,室
5,313.125,315.000,春分,辛亥,人破,上7カ,無無〇無無〇,室
6,315.000,318.750,啓蟄,辛亥,人破,上7カ,無無〇無無〇,室
7,318.750,323.000,啓蟄,癸亥,地武,カ6上,上〇無上〇無,室
8,323.000,324.375,啓蟄,癸亥,地武,カ6上,上〇無上〇無,危
9,324.375,330.000,啓蟄,甲子,父貪,上1カ,〇無無〇無無,危
10,330.000,335.625,雨水,甲子,天輔,カ9上,無〇無無〇無,危
11,335.625,341.250,雨水,丙子,人禄,上3カ,無〇〇無〇〇,危
12,341.250,343.000,雨水,戊子,地文,カ4上,無無〇無無〇,危
13,343.000,345.000,雨水,戊子,地文,カ4上,無無〇無無〇,虚
14,345.000,346.875,立春,戊子,地文,カ4上,無無〇無無〇,虚
15,346.875,352.500,立春,庚子,母弼,上9カ,〇無無〇無無,虚
16,352.500,353.000,立春,壬子,父貪,上1カ,〇無無〇無無,虚
17,353.000,358.125,立春,壬子,父貪,上1カ,〇無無〇無無,女
18,358.125,360.000,立春,乙丑,地武,カ6上,上〇無上〇無,女
19,0.000,3.750,大寒,乙丑,地武,カ6上,上〇無上〇無,牛
20,3.750,9.375,大寒,丁丑,人破,上7カ,無無〇無無〇,牛
21,9.375,12.000,大寒,己丑,天巨,カ2上,〇〇無〇〇無,牛
22,12.000,15.000,大寒,己丑,天巨,カ2上,〇〇無〇〇無,斗
23,15.000,20.625,小寒,辛丑,人禄,上3カ,無〇〇無〇〇,斗
24,20.625,26.250,小寒,癸丑,天輔,カ8上,無〇無無〇無,斗
25,26.250,30.000,小寒,甲寅,母弼,上9カ,〇無無〇無無,斗
26,30.000,31.875,冬至,甲寅,母弼,上9カ,〇無無〇無無,斗
27,31.875,36.000,冬至,丙寅,地文,カ4上,無無〇無無〇,斗
28,36.000,37.500,冬至,丙寅,地文,カ4上,無無〇無無〇,箕
29,37.500,43.125,冬至,戊寅,地武,カ6上,上〇無上〇無,箕
30,43.125,45.000,冬至,庚寅,父貪,上1カ,〇無無〇無無,箕
31,45.000,48.750,大雪,庚寅,父貪,上1カ,〇無無〇無無,尾
32,48.750,54.375,大雪,庚寅,天巨,カ2上,〇〇無〇〇無,尾
33,54.375,60.000,大雪,壬寅,人破,上7カ,無無〇無無〇,尾
34,60.000,65.625,小雪,乙卯,地文,カ4上,無無〇無無〇,心
35,65.625,68.000,小雪,丁卯,母弼,上9カ,〇無無〇無無,心
36,68.000,71.250,小雪,丁卯,母弼,上9カ,〇無無〇無無,房
37,71.250,73.000,小雪,己卯,天輔,カ8上,無〇無無〇無,房
38,73.000,75.000,小雪,己卯,天輔,カ8上,無〇無無〇無,氏
39,75.000,76.875,立冬,己卯,天輔,カ8上,無〇無無〇無,氏
40,76.875,82.500,立冬,辛卯,人禄,上3カ,無〇〇無〇〇,氏
41,82.500,88.125,立冬,癸卯,人破,上7カ,無無〇無無〇,氏
42,88.125,90.000,立冬,甲辰,天巨,カ2上,〇〇無〇〇無,氏
43,90.000,91.000,霜降,甲辰,天巨,カ2上,〇〇無〇〇無,氏
44,91.000,93.750,霜降,甲辰,天巨,カ2上,〇〇無〇〇無,亢
45,93.750,99.375,霜降,丙辰,父貪,上1カ,〇無無〇無無,亢
46,99.375,102.000,霜降,戊辰,地武,カ6上,上〇無上〇無,亢
47,102.000,105.000,霜降,戊辰,地武,カ6上,上〇無上〇無,角
48,105.000,110.625,寒露,庚辰,母弼,上9カ,〇無無〇無無,角
49,110.625,113.000,寒露,壬辰,地文,カ4上,無無〇無無〇,角
50,113.000,116.250,寒露,壬辰,地文,カ4上,無無〇無無〇,軫
51,116.250,120.000,寒露,乙巳,人禄,上3カ,無〇〇無〇〇,軫
52,120.000,121.875,秋分,乙巳,人禄,上3カ,無〇〇無〇〇,軫
53,121.875,127.000,秋分,丁巳,天輔,カ8上,無〇無無〇無,軫
54,127.000,127.500,秋分,丁巳,天輔,カ8上,無〇無無〇無,翌
55,127.500,133.125,秋分,己巳,天巨,カ2上,〇〇無〇〇無,翌
56,133.125,135.000,秋分,辛巳,人破,上7カ,無無〇無無〇,翌
57,135.000,138.750,白露,辛巳,人破,上7カ,無無〇無無〇,翌
58,138.750,144.000,白露,癸巳,地武,カ6上,上〇無上〇無,翌
59,144.000,144.375,白露,癸巳,地武,カ6上,上〇無上〇無,張
60,144.375,150.000,白露,甲午,父貪,上1カ,〇無無〇無無,張
61,150.000,155.625,処暑,甲午,天輔,カ8上,無〇無無〇無,張
62,155.625,161.000,処暑,丙午,人禄,上3カ,無〇〇無〇〇,張
63,161.000,161.250,処暑,丙午,人禄,上3カ,無〇〇無〇〇,星
64,161.250,165.000,処暑,戊午,地文,カ4上,無無〇無無〇,星
65,165.000,166.875,立秋,戊午,地文,カ4上,無無〇無無〇,星
66,166.875,169.000,立秋,庚午,母弼,上9カ,〇無無〇無無,星
67,169.000,172.500,立秋,庚午,母弼,上9カ,〇無無〇無無,柳
68,172.500,178.125,立秋,壬午,父貪,上1カ,〇無無〇無無,柳
69,178.125,180.000,立秋,乙未,地武,カ6上,上〇無上〇無,柳
70,180.000,183.750,大暑,乙未,地武,カ6上,上〇無上〇無,柳
71,183.750,186.000,大暑,丁未,人破,上7カ,無無〇無無〇,柳
72,186.000,189.375,大暑,丁未,人破,上7カ,無無〇無無〇,鬼
73,189.375,191.000,大暑,己未,天巨,カ2上,〇〇無〇〇無,鬼
74,191.000,195.000,大暑,己未,天巨,カ2上,〇〇無〇〇無,井
75,195.000,200.625,小暑,辛未,人禄,上3カ,無〇〇無〇〇,井
76,200.625,206.250,小暑,癸未,天輔,カ8上,無〇無無〇無,井
77,206.250,210.000,小暑,甲申,母弼,上9カ,〇無無〇無無,井
78,210.000,211.875,夏至,甲申,母弼,上9カ,〇無無〇無無,井
79,211.875,217.500,夏至,丙申,地文,カ4上,無無〇無無〇,井
80,217.500,222.000,夏至,戊申,地武,カ6上,上〇無上〇無,井
81,222.000,223.125,夏至,戊申,地武,カ6上,上〇無上〇無,参
82,223.125,225.000,夏至,庚申,父貪,上1カ,〇無無〇無無,参
83,225.000,228.750,芒種,庚申,父貪,上1カ,〇無無〇無無,参
84,228.750,233.000,芒種,庚申,天巨,カ2上,〇〇無〇〇無,参
85,233.000,234.000,芒種,庚申,天巨,カ2上,〇〇無〇〇無,觜
86,234.000,234.375,芒種,庚申,天巨,カ2上,〇〇無〇〇無,畢
87,234.375,240.000,芒種,壬申,人破,上7カ,無〇無無〇無,畢
88,240.000,245.625,小満,乙酉,地文,カ4上,無無〇無無〇,畢
89,245.625,249.000,小満,丁酉,母弼,上9カ,〇無無〇無無,畢
90,249.000,251.250,小満,丁酉,母弼,上9カ,〇無無〇無無,昂
91,251.250,255.000,小満,己酉,天輔,カ8上,無〇無無〇無,昂
92,255.000,256.875,立夏,己酉,天輔,カ8上,無〇無無〇無,昂
93,256.875,258.000,立夏,辛酉,人禄,上3カ,無〇〇無〇〇,昂
94,258.000,262.500,立夏,辛酉,人禄,上3カ,無〇〇無〇〇,胃
95,262.500,268.125,立夏,癸酉,人破,上7カ,無無〇無無〇,胃
96,268.125,270.000,立夏,甲戌,天巨,カ2上,〇〇無〇〇無,胃
97,270.000,273.750,穀雨,甲戌,天巨,カ2上,〇〇無〇〇無,婁
98,273.750,279.375,穀雨,丙戌,父貪,上1カ,〇無無〇無無,婁
99,279.375,283.000,穀雨,戊戌,地武,カ6上,上〇無上〇無,婁
100,283.000,285.000,穀雨,戊戌,地武,カ6上,上〇無上〇無,奎
101,285.000,290.625,清明,庚戌,母弼,上9カ,〇無無〇無無,奎
102,290.625,294.000,清明,壬戌,地文,カ4上,無無〇無無〇,奎
103,294.000,296.250,清明,壬戌,地文,カ4上,無無〇無無〇,壁
104,296.250,300.000,清明,乙亥,人禄,上3カ,無〇〇無〇〇,壁
